text,created_at,cleaned_text
"@CoinstoreExc @athena_foo Answer: B
This is an awesome project. I am very much glad to be here. Go ahead

@Nibir00056
@Kodom765480
@Nibir96510844",,  answer b this is an awesome project i am very much glad to be here go ahead    
Gm ONLY to those of you who are AWESOME (hint: it's all of you),,gm only to those of you who are awesome hint its all of you
@pmcafrica You're awesome! Keep shining bright always!,, youre awesome keep shining bright always
@ladka_bawaal1 ये बढ़िया था,, य बढय थ
"RT @metadavideth: hello, gm gm!

Have an awesome Monday! ⚡ https://t.co/O2GTryOOJM",,rt  hello gm gm  have an awesome monday  
"RT @THEREALTIMELIME: I've been blessed by @Vs_Flowey20 to give a preview of one of their songs.

I really like how Flowey is animated. Give…",,rt  ive been blessed by  to give a preview of one of their songs  i really like how flowey is animated give
"@Pedantrynmotion What an awesome job.

Since Schaff is free online, you would have to determine if you get particular benefit from having a distinct physical set, e.g. the better reading experience.

Purely value wise a better investment would be in the Fathers of the Church series, which is… https://t.co/KJRqt6srgz",, what an awesome job  since schaff is free online you would have to determine if you get particular benefit from having a distinct physical set eg the better reading experience  purely value wise a better investment would be in the fathers of the church series which is 
@TaraBull808 Awesome,, awesome
@QuantumTradePRO Awesome,, awesome
"@countess_nat They look so awesome! I love yor art &lt;3
Also i can't wait for season 7 of Mystreet :D",, they look so awesome i love yor art lt3 also i cant wait for season 7 of mystreet d
"@TheAureliya That's awesome, rooting for this amazing project. Goodluck!",, thats awesome rooting for this amazing project goodluck
@sickestguyever @MeteoraAG @LGTBonSol @WEAREM3M3_ @solana This is awesome! keep going and let’s get this bread 🥖 🦆📈,,     this is awesome keep going and lets get this bread  
